Year,Marketcap,Change
2025,$5.19 B,-4.14%
2024,$5.42 B,12.58%
2023,$4.81 B,31.06%
2022,$3.67 B,-28.94%
2021,$5.17 B,15.79%
2020,$4.46 B,
2014,$2.84 B,
