Year,Marketcap,Change
2025,$6.37 B,1.91%
2024,$6.25 B,5.21%
2023,$5.94 B,18.71%
2022,$5.00 B,-19.25%
2021,$6.20 B,17.17%
2020,$5.29 B,27.42%
2019,$4.15 B,26.92%
2018,$3.27 B,-39.17%
2017,$5.38 B,60.59%
2016,$3.35 B,19.31%
2015,$2.80 B,8.01%
2014,$2.60 B,-10%
2013,$2.88 B,74.7%
2012,$1.65 B,18.11%
2011,$1.40 B,-39.52%
2010,$2.31 B,123.03%
2009,$1.03 B,10.03%
2008,$0.94 B,-62.64%
2007,$2.52 B,-4.88%
2006,$2.65 B,122.25%
2005,$1.19 B,32.18%
2004,$0.90 B,31%
2003,$0.68 B,
