Year,Marketcap,Change
2025,$3.36 B,11.49%
2024,$3.01 B,2.34%
2023,$2.95 B,9.8%
2022,$2.68 B,-26.43%
2021,$3.65 B,-0.48%
2020,$3.67 B,
