Year,Marketcap,Change
2025,$1.66 B,6.6%
2024,$1.56 B,5.82%
2023,$1.47 B,5.67%
2022,$1.39 B,-3.93%
2021,$1.45 B,10.31%
2020,$1.31 B,23.81%
2019,$1.06 B,33.55%
2018,$0.79 B,-3.09%
2017,$0.82 B,14.99%
2016,$0.71 B,
