Year,Marketcap,Change
2025,$1.08 B,13.75%
2024,$0.95 B,-0.76%
2023,$0.95 B,7.04%
2022,$0.89 B,-14.56%
2021,$1.04 B,0.63%
2020,$1.04 B,16.83%
2019,$0.89 B,-5.79%
2018,$0.94 B,-5.1%
2017,$0.99 B,21.35%
2016,$0.82 B,10.32%
2015,$0.74 B,10.37%
2014,$0.67 B,
