Year,Marketcap,Change
2025,$8.7 M,8.25%
2024,$8.03 M,23.8%
2023,$6.49 M,-22.76%
2022,$8.4 M,-80.5%
2021,$43.11 M,-30.2%
2020,$61.76 M,37.17%
2019,$45.03 M,-25.38%
2018,$60.34 M,94.7%
2017,$30.99 M,50.75%
2016,$20.56 M,-35.32%
2015,$31.79 M,35.7%
2014,$23.42 M,-43.22%
2013,$41.25 M,-54.51%
2012,$90.69 M,
