Year,Marketcap,Change
2025,$7.00 B,7.04%
2024,$6.54 B,2.16%
2023,$6.40 B,19.11%
2022,$5.38 B,-5.72%
2021,$5.70 B,-7.27%
2020,$6.15 B,
