Year,Marketcap,Change
2025,$34.13 B,14.61%
2024,$29.78 B,14.4%
2023,$26.03 B,31.82%
2022,$19.75 B,-31.43%
2021,$28.80 B,-0.86%
2020,$29.05 B,8.9%
2019,$26.68 B,27.31%
2018,$20.95 B,-13.58%
2017,$24.25 B,29.03%
2016,$18.79 B,3.03%
2015,$18.24 B,13%
2014,$16.14 B,-2.59%
2013,$16.57 B,0.09%
2012,$16.55 B,20.7%
2011,$13.71 B,
