Year,Marketcap,Change
2025,$0.59 B,10.68%
2024,$0.53 B,-6.48%
2023,$0.57 B,2.33%
2022,$0.56 B,-0.12%
2021,$0.56 B,-6.9%
2020,$0.60 B,12.36%
2019,$0.53 B,3.41%
2018,$0.51 B,-0.42%
2017,$0.52 B,5.68%
2016,$0.49 B,-1.81%
2015,$0.50 B,-0.39%
2014,$0.50 B,-13.45%
2013,$0.58 B,-14.67%
2012,$0.68 B,
2009,$0.77 B,7.15%
2008,$0.71 B,8.77%
2007,$0.66 B,2.26%
2006,$0.64 B,
