Year,Marketcap,Change
2025,$0.30 B,-7.08%
2024,$0.32 B,-28.63%
2023,$0.45 B,-9.43%
2022,$0.50 B,-9.17%
2021,$0.55 B,22.93%
2020,$0.45 B,14.32%
2019,$0.39 B,16.29%
2018,$0.34 B,14.83%
2017,$0.29 B,23.92%
2016,$0.23 B,
