Year,Marketcap,Change
2025,$236.38 B,25.18%
2024,$188.83 B,29.29%
2023,$146.05 B,-6.91%
2022,$156.89 B,6.08%
2021,$147.89 B,14.71%
2020,$128.93 B,-2.61%
2019,$132.39 B,27.56%
2018,$103.78 B,-36.75%
2017,$164.09 B,15.62%
2016,$141.93 B,4.21%
2015,$136.20 B,8.1%
2014,$125.99 B,-9%
2013,$138.44 B,0.1%
2012,$138.30 B,1.46%
2011,$136.31 B,29.26%
2010,$105.45 B,15.96%
2009,$90.94 B,3.32%
2008,$88.02 B,
