Year,Marketcap,Change
2025,$28.57 B,5.02%
2024,$27.21 B,-33.94%
2023,$41.19 B,48.03%
2022,$27.82 B,-28.23%
2021,$38.77 B,42.1%
2020,$27.28 B,35.19%
2019,$20.18 B,31.23%
2018,$15.38 B,-27%
2017,$21.07 B,32.85%
2016,$15.86 B,-5.12%
2015,$16.71 B,1.82%
2014,$16.41 B,3.71%
2013,$15.83 B,9.69%
2012,$14.43 B,7.8%
2011,$13.38 B,-19.21%
2010,$16.57 B,43.94%
2009,$11.51 B,50.55%
2008,$7.64 B,
