Year,Marketcap,Change
2025,$53.21 M,-67.79%
2024,$0.16 B,-45.74%
2023,$0.30 B,-55.58%
2022,$0.68 B,-40.4%
2021,$1.14 B,112.8%
2020,$0.54 B,97.66%
2019,$0.27 B,-47.19%
2018,$0.51 B,-36.48%
2017,$0.81 B,29.22%
2016,$0.63 B,31.9%
2015,$0.47 B,-53.68%
2014,$1.03 B,-11.89%
2013,$1.17 B,216.5%
2012,$0.37 B,-45.15%
2011,$0.67 B,-36.5%
2010,$1.06 B,49.56%
2009,$0.71 B,54.41%
2008,$0.46 B,-81.02%
2007,$2.42 B,6.83%
2006,$2.26 B,1424.26%
2005,$0.14 B,
