Year,Marketcap,Change
2025,$2.50 B,-13.59%
2024,$2.90 B,-44.4%
2023,$5.21 B,-8.1%
2022,$5.67 B,-26.33%
2021,$7.70 B,31.07%
2020,$5.87 B,76.33%
2019,$3.33 B,46.05%
2018,$2.28 B,-5.39%
2017,$2.41 B,33.94%
2016,$1.80 B,-4.74%
2015,$1.89 B,48.23%
2014,$1.27 B,-3.2%
2013,$1.31 B,44.25%
2012,$0.91 B,25.75%
2011,$0.72 B,-19%
2010,$0.89 B,14.31%
2009,$0.78 B,102.9%
2008,$0.38 B,-46.7%
2007,$0.72 B,-3.59%
2006,$0.75 B,44.83%
2005,$0.51 B,37.21%
2004,$0.37 B,-40.25%
2003,$0.63 B,
