Year,Marketcap,Change
2025,$3.49 B,13.98%
2024,$3.06 B,-16.2%
2023,$3.66 B,56.15%
2022,$2.34 B,-44.28%
2021,$4.20 B,14.41%
2020,$3.67 B,
