Year,Marketcap,Change
2025,$2.08 B,8.95%
2024,$1.91 B,-5.95%
2023,$2.03 B,15.1%
2022,$1.76 B,1.68%
2021,$1.73 B,-7.27%
2020,$1.87 B,3.96%
2019,$1.80 B,5.11%
2018,$1.71 B,9.86%
2017,$1.55 B,249.17%
2016,$0.44 B,-1.43%
2015,$0.45 B,-58.82%
2014,$1.10 B,-12.61%
2013,$1.25 B,176.5%
2012,$0.45 B,-64.2%
2011,$1.27 B,257.95%
2010,$0.35 B,9.26%
2009,$0.32 B,40.52%
2008,$0.23 B,-7.01%
2007,$0.24 B,5.66%
2006,$0.23 B,
