Year,Marketcap,Change
2025,$0.47 B,5.82%
2024,$0.44 B,-9.58%
2023,$0.49 B,44.78%
2022,$0.34 B,-19.74%
2021,$0.42 B,-15.74%
2020,$0.50 B,6.72%
2019,$0.47 B,-3.4%
2018,$0.49 B,-18.93%
2017,$0.60 B,36.94%
2016,$0.44 B,-2.55%
2015,$0.45 B,1.6%
2014,$0.44 B,-24.15%
2013,$0.58 B,29.36%
2012,$0.45 B,-10.54%
2011,$0.50 B,-25.97%
2010,$0.68 B,82.48%
2009,$0.37 B,15.78%
2008,$0.32 B,-35.08%
2007,$0.50 B,6.67%
2006,$0.46 B,65.16%
2005,$0.28 B,-11.94%
2004,$0.32 B,-9.28%
2003,$0.35 B,
