Year,Marketcap,Change
2025,$2.56 B,9.35%
2024,$2.34 B,4.25%
2023,$2.25 B,21.47%
2022,$1.85 B,-15.9%
2021,$2.20 B,3.1%
2020,$2.13 B,12.98%
2019,$1.89 B,21.34%
2018,$1.56 B,-6.55%
2017,$1.66 B,7.43%
2016,$1.55 B,15.55%
2015,$1.34 B,7.96%
2014,$1.24 B,-5.52%
2013,$1.31 B,-6.95%
2012,$1.41 B,3.62%
2011,$1.36 B,64.19%
2010,$0.83 B,18.64%
2009,$0.70 B,39.07%
2008,$0.50 B,-8.04%
2007,$0.54 B,-2.69%
2006,$0.56 B,
