Year,Marketcap,Change
2025,$1.75 B,6.71%
2024,$1.64 B,-15.39%
2023,$1.94 B,21.5%
2022,$1.59 B,-42.22%
2021,$2.76 B,77.84%
2020,$1.55 B,12.14%
2019,$1.38 B,28.11%
2018,$1.08 B,-39.58%
2017,$1.79 B,68.29%
2016,$1.06 B,27.36%
2015,$0.83 B,0.11%
2014,$0.83 B,-5.9%
2013,$0.88 B,102.84%
2012,$0.43 B,51.4%
2011,$0.28 B,-6.86%
2010,$0.31 B,103.64%
2009,$0.15 B,29.48%
2008,$0.11 B,-43.11%
2007,$0.20 B,15.15%
2006,$0.17 B,10.53%
2005,$0.16 B,0.68%
2004,$0.16 B,38.89%
2003,$0.11 B,
