Year,Marketcap,Change
2025,$30.37 B,17.92%
2024,$25.75 B,-8.78%
2023,$28.23 B,16.73%
2022,$24.18 B,-26.19%
2021,$32.77 B,39.15%
2020,$23.55 B,18.75%
2019,$19.83 B,19.76%
2018,$16.56 B,3.36%
2017,$16.02 B,19.94%
2016,$13.35 B,-18.25%
2015,$16.34 B,31.48%
2014,$12.42 B,8.41%
2013,$11.46 B,44.14%
2012,$7.95 B,6.54%
2011,$7.46 B,
