Year,Marketcap,Change
2025,$25.36 B,18.21%
2024,$21.45 B,9.41%
2023,$19.60 B,25.91%
2022,$15.57 B,-17.59%
2021,$18.89 B,27.05%
2020,$14.87 B,-6.95%
2019,$15.98 B,22.86%
2018,$13.01 B,15.74%
2017,$11.24 B,24.66%
2016,$9.01 B,3.19%
2015,$8.73 B,14.6%
2014,$7.62 B,14.55%
2013,$6.65 B,56.73%
2012,$4.24 B,45.09%
2011,$2.92 B,-36.59%
2010,$4.61 B,13.58%
2009,$4.06 B,92.21%
2008,$2.11 B,-74.21%
2007,$8.20 B,-2.01%
2006,$8.36 B,37.18%
2005,$6.10 B,
