Year,Marketcap,Change
2025,$0.65 B,3.47%
2024,$0.63 B,-1.8%
2023,$0.64 B,14.82%
2022,$0.56 B,-12.84%
2021,$0.64 B,0.46%
2020,$0.64 B,8.2%
2019,$0.59 B,16.3%
2018,$0.51 B,-10.38%
2017,$0.56 B,28.79%
2016,$0.44 B,4.95%
2015,$0.42 B,1.26%
2014,$0.41 B,-5.11%
2013,$0.43 B,-0.31%
2012,$0.44 B,
