Year,Marketcap,Change
2025,$0.45 B,19.3%
2024,$0.38 B,0.27%
2023,$0.38 B,13.1%
2022,$0.33 B,-1.73%
2021,$0.34 B,-1.6%
2020,$0.35 B,-11.22%
2019,$0.39 B,6.07%
2018,$0.37 B,17.15%
2017,$0.31 B,12.85%
2016,$0.28 B,-5.2%
2015,$0.29 B,7.92%
2014,$0.27 B,-18.61%
2013,$0.33 B,-25.46%
2012,$0.45 B,-45.51%
2011,$0.83 B,-7.44%
2010,$0.89 B,31.86%
2009,$0.68 B,4.78%
2008,$0.65 B,8.73%
2007,$0.59 B,11.75%
2006,$0.53 B,
