Year,Marketcap,Change
2025,$2.12 B,5.65%
2024,$2.00 B,5.45%
2023,$1.90 B,38.18%
2022,$1.37 B,10.62%
2021,$1.24 B,-2.42%
2020,$1.27 B,-10.8%
2019,$1.43 B,3%
2018,$1.38 B,187.91%
2017,$0.48 B,15.66%
2016,$0.41 B,10.75%
2015,$0.37 B,22.67%
2014,$0.30 B,-14.3%
2013,$0.35 B,12.78%
2012,$0.31 B,-56.6%
2011,$0.73 B,
2007,$1.42 B,26.28%
2006,$1.12 B,36.62%
2005,$0.82 B,-11.93%
2004,$0.93 B,17.88%
2003,$0.79 B,
