Year,Marketcap,Change
2025,$9.47 B,12.01%
2024,$8.45 B,3.25%
2023,$8.19 B,23.22%
2022,$6.64 B,-10.82%
2021,$7.45 B,-0.46%
2020,$7.48 B,
