Year,Marketcap,Change
2025,$2.27 B,-10.2%
2024,$2.53 B,-35.68%
2023,$3.94 B,16.58%
2022,$3.38 B,-54.78%
2021,$7.47 B,50.92%
2020,$4.95 B,
