Year,Marketcap,Change
2025,$2.37 B,-2.47%
2024,$2.43 B,19.8%
2023,$2.03 B,0.38%
2022,$2.02 B,26.31%
2021,$1.60 B,36.09%
2020,$1.17 B,26.7%
2019,$0.92 B,16.8%
2018,$0.79 B,-27.42%
2017,$1.09 B,22.74%
2016,$0.89 B,-15.8%
2015,$1.05 B,-18.84%
2014,$1.30 B,-12.6%
2013,$1.49 B,36.92%
2012,$1.09 B,31.27%
2011,$0.83 B,-10.02%
2010,$0.92 B,53.25%
2009,$0.60 B,22.87%
2008,$0.49 B,-55.85%
2007,$1.11 B,
