Year,Marketcap,Change
2025,$0.98 B,45.09%
2024,$0.67 B,-72.6%
2023,$2.47 B,29.85%
2022,$1.90 B,-59.77%
2021,$4.74 B,-17.13%
2020,$5.72 B,44.5%
2019,$3.96 B,-15.88%
2018,$4.70 B,-32.72%
2017,$6.99 B,258.2%
2016,$1.95 B,-4.98%
2015,$2.05 B,-18.09%
2014,$2.51 B,76.97%
2013,$1.41 B,1434.25%
2012,$92.46 M,143.39%
2011,$37.99 M,18.77%
2010,$31.98 M,85.64%
2009,$17.23 M,63.81%
2008,$10.51 M,-74.56%
2007,$41.34 M,-25.46%
2006,$55.46 M,31.45%
2005,$42.19 M,651.13%
2004,$5.61 M,
