Year,Marketcap,Change
2025,$9.44 B,14.19%
2024,$8.27 B,16.65%
2023,$7.09 B,1.74%
2022,$6.97 B,-5.15%
2021,$7.34 B,-8.69%
2020,$8.04 B,-2.22%
2019,$8.23 B,28.37%
2018,$6.41 B,-13.09%
2017,$7.37 B,26.76%
2016,$5.82 B,-3.16%
2015,$6.01 B,-0.99%
2014,$6.06 B,0.92%
2013,$6.01 B,48.94%
2012,$4.03 B,26.1%
2011,$3.20 B,-32.1%
2010,$4.71 B,17.03%
2009,$4.02 B,10.54%
2008,$3.64 B,-25.98%
2007,$4.92 B,-7.75%
2006,$5.33 B,
