Year,Marketcap,Change
2025,$0.68 B,-3.9%
2024,$0.71 B,-61.02%
2023,$1.83 B,-25.29%
2022,$2.45 B,-29.32%
2021,$3.47 B,91.16%
2020,$1.81 B,45.46%
2019,$1.25 B,-9.89%
2018,$1.38 B,-18.47%
2017,$1.70 B,43.57%
2016,$1.18 B,30.03%
2015,$0.91 B,30498.36%
2014,$2.97 M,-92.12%
2013,$37.82 M,209.73%
2012,$12.21 M,-27.68%
2011,$16.88 M,-11.95%
2010,$19.17 M,-28.7%
2009,$26.89 M,-33.85%
2008,$40.65 M,-5.75%
2007,$43.13 M,-30.58%
2006,$62.14 M,46.59%
2005,$42.39 M,3.62%
2004,$40.9 M,
