Year,Marketcap,Change
2025,$7.72 B,2.38%
2024,$7.54 B,-14.2%
2023,$8.78 B,5.27%
2022,$8.34 B,-11.23%
2021,$9.40 B,26.12%
2020,$7.45 B,45.98%
2019,$5.10 B,50.08%
2018,$3.40 B,
