Year,Marketcap,Change
2025,$0.65 B,15.48%
2024,$0.56 B,12.32%
2023,$0.50 B,-14.87%
2022,$0.59 B,11.41%
2021,$0.53 B,-19.05%
2020,$0.65 B,25.7%
2019,$0.52 B,19.4%
2018,$0.43 B,-48.39%
2017,$0.84 B,9.03%
2016,$0.77 B,-26.31%
2015,$1.05 B,6.79%
2014,$0.98 B,-18.65%
2013,$1.21 B,158.62%
2012,$0.46 B,28.42%
2011,$0.36 B,-45.28%
2010,$0.66 B,11.64%
2009,$0.59 B,-56.29%
2008,$1.36 B,-26.49%
2007,$1.85 B,37.33%
2006,$1.35 B,73.51%
2005,$0.78 B,33.21%
2004,$0.58 B,
