Year,Marketcap,Change
2025,$0.48 B,37.67%
2024,$0.35 B,-28.52%
2023,$0.49 B,-21.76%
2022,$0.63 B,-26.83%
2021,$0.86 B,34.4%
2020,$0.64 B,
