Year,Marketcap,Change
2025,$4.57 B,-5.24%
2024,$4.82 B,-16.63%
2023,$5.79 B,-9.03%
2022,$6.36 B,-44.91%
2021,$11.55 B,84.04%
2020,$6.27 B,
