Year,Marketcap,Change
2025,$1.61 B,6.02%
2024,$1.52 B,1.45%
2023,$1.49 B,-14.64%
2022,$1.75 B,-4.42%
2021,$1.83 B,19.07%
2020,$1.54 B,0.04%
2019,$1.54 B,6.02%
2018,$1.45 B,43.3%
2017,$1.01 B,-5.85%
2016,$1.07 B,28.31%
2015,$0.84 B,-8.82%
2014,$0.92 B,-10.4%
2013,$1.02 B,18.56%
2012,$0.86 B,5.97%
2011,$0.81 B,-29.75%
2010,$1.16 B,43.88%
2009,$0.81 B,37.33%
2008,$0.59 B,86.33%
2007,$0.31 B,58.85%
2006,$0.19 B,118.21%
2005,$91.37 M,-73.62%
2004,$0.34 B,
