Year,Marketcap,Change
2025,$2.12 B,15.47%
2024,$1.84 B,2.77%
2023,$1.79 B,4.82%
2022,$1.70 B,8.33%
2021,$1.57 B,1.84%
2020,$1.54 B,1.06%
2019,$1.53 B,-14.33%
2018,$1.78 B,4.7%
2017,$1.70 B,9.27%
2016,$1.56 B,-13.97%
2015,$1.81 B,32.67%
2014,$1.37 B,-2.88%
2013,$1.41 B,3.15%
2012,$1.36 B,-29.61%
2011,$1.94 B,-19.28%
2010,$2.40 B,-22.71%
2009,$3.11 B,10.73%
2008,$2.81 B,12.16%
2007,$2.50 B,34.25%
2006,$1.86 B,27.73%
2005,$1.46 B,2.41%
2004,$1.42 B,
