Year,Marketcap,Change
2025,$0.12 B,-6.17%
2024,$0.13 B,-12.38%
2023,$0.15 B,-0.88%
2022,$0.15 B,6.29%
2021,$0.14 B,-28.12%
2020,$0.20 B,25.06%
2019,$0.16 B,32.85%
2018,$0.12 B,-70.21%
2017,$0.40 B,0.38%
2016,$0.40 B,7.23%
2015,$0.37 B,-3.5%
2014,$0.39 B,-2.34%
2013,$0.40 B,12.39%
2012,$0.35 B,47.15%
2011,$0.24 B,0.23%
2010,$0.24 B,33.64%
2009,$0.18 B,15.46%
2008,$0.15 B,-51.78%
2007,$0.32 B,85.97%
2006,$0.17 B,28.86%
2005,$0.13 B,72.89%
2004,$78.89 M,38.47%
2003,$56.97 M,
