Year,Marketcap,Change
2025,$41.00 B,6.46%
2024,$38.51 B,-26.17%
2023,$52.17 B,42.13%
2022,$36.70 B,-37.77%
2021,$58.98 B,51.73%
2020,$38.87 B,46.1%
2019,$26.61 B,48.25%
2018,$17.94 B,5.63%
2017,$16.99 B,64.55%
2016,$10.32 B,31.27%
2015,$7.86 B,23.36%
2014,$6.37 B,-16.82%
2013,$7.66 B,55.16%
2012,$4.94 B,21.99%
2011,$4.04 B,-14.22%
2010,$4.72 B,43.74%
2009,$3.28 B,83.73%
2008,$1.78 B,-55.96%
2007,$4.05 B,21.76%
2006,$3.33 B,87.09%
2005,$1.78 B,38.52%
2004,$1.28 B,40.83%
2003,$0.91 B,
