Year,Marketcap,Change
2025,$5.17 B,24.74%
2024,$4.14 B,-49.78%
2023,$8.25 B,50.16%
2022,$5.50 B,-35.34%
2021,$8.50 B,-22.27%
2020,$10.94 B,
