Year,Marketcap,Change
2025,$280.05 B,24.14%
2024,$225.59 B,-3.61%
2023,$234.05 B,-9.83%
2022,$259.55 B,-27.83%
2021,$359.63 B,20.2%
2020,$299.20 B,8.27%
2019,$276.35 B,31.2%
2018,$210.64 B,-1.97%
2017,$214.86 B,9.77%
2016,$195.74 B,-17.9%
2015,$238.41 B,2.92%
2014,$231.65 B,-2.73%
2013,$238.15 B,-24.51%
2012,$315.46 B,114.14%
2011,$147.31 B,15.59%
2010,$127.44 B,-14.38%
2009,$148.85 B,9.99%
2008,$135.33 B,-10.67%
2007,$151.50 B,-1.96%
2006,$154.53 B,
