Year,Marketcap,Change
2025,$6.53 B,13.64%
2024,$5.74 B,54.22%
2023,$3.72 B,72.28%
2022,$2.16 B,-33.46%
2021,$3.25 B,125.21%
2020,$1.44 B,93.94%
2019,$0.74 B,8.76%
2018,$0.68 B,24.04%
2017,$0.55 B,57.83%
2016,$0.34 B,-8.25%
2015,$0.38 B,-19.29%
2014,$0.47 B,-26.53%
2013,$0.64 B,41.25%
2012,$0.45 B,-10.35%
2011,$0.50 B,-38.29%
2010,$0.82 B,12.79%
2009,$0.72 B,40.36%
2008,$0.51 B,-36.9%
2007,$0.82 B,77.6%
2006,$0.46 B,190.27%
2005,$0.15 B,30.6%
2004,$0.12 B,26.01%
2003,$97.01 M,
