Year,Marketcap,Change
2025,$1.00 B,2.26%
2024,$0.98 B,-67.32%
2023,$3.02 B,37.66%
2022,$2.19 B,-34.45%
2021,$3.34 B,-27.09%
2020,$4.59 B,
