Year,Marketcap,Change
2025,$2.29 B,5.94%
2024,$2.16 B,18.56%
2023,$1.82 B,-0.35%
2022,$1.83 B,-11.68%
2021,$2.07 B,-5.89%
2020,$2.20 B,
