Year,Marketcap,Change
2025,$2.83 B,18.3%
2024,$2.39 B,-19.59%
2023,$2.98 B,33.84%
2022,$2.22 B,-28.3%
2021,$3.10 B,56.32%
2020,$1.98 B,18.45%
2019,$1.67 B,
