Year,Marketcap,Change
2025,$0.14 B,-50.39%
2024,$0.30 B,-46.31%
2023,$0.55 B,8.08%
2022,$0.51 B,-19.36%
2021,$0.64 B,15.51%
2020,$0.55 B,-7.62%
2019,$0.60 B,14.18%
2018,$0.52 B,12.5%
2017,$0.46 B,7.86%
2016,$0.43 B,19.04%
2015,$0.36 B,11.19%
2014,$0.32 B,-5.31%
2013,$0.34 B,4.71%
2012,$0.33 B,8.35%
2011,$0.30 B,-11.72%
2010,$0.34 B,
