Year,Marketcap,Change
2025,$44.97 B,6.16%
2024,$42.36 B,10.26%
2023,$38.41 B,14.36%
2022,$33.59 B,-22.39%
2021,$43.28 B,31.39%
2020,$32.94 B,19.31%
2019,$27.61 B,
