Year,Marketcap,Change
2025,$0.14 B,-11%
2024,$0.16 B,-53.28%
2023,$0.35 B,21.27%
2022,$0.28 B,-37.51%
2021,$0.46 B,-13.38%
2020,$0.53 B,36.88%
2019,$0.39 B,-21.3%
2018,$0.49 B,-46.56%
2017,$0.92 B,65.34%
2016,$0.56 B,-2.4%
2015,$0.57 B,6.31%
2014,$0.54 B,-8.28%
2013,$0.59 B,68.96%
2012,$0.34 B,12.91%
2011,$0.30 B,-43.06%
2010,$0.54 B,66.12%
2009,$0.32 B,15.77%
2008,$0.28 B,-26.84%
2007,$0.38 B,-14.17%
2006,$0.45 B,-11.77%
2005,$0.51 B,-14.92%
2004,$0.59 B,
