Year,Marketcap,Change
2025,$0.13 B,6.62%
2024,$0.12 B,22.58%
2023,$0.10 B,13.37%
2022,$90.44 M,-7%
2021,$97.25 M,-6.31%
2020,$0.10 B,12.34%
2019,$92.4 M,5.36%
2018,$87.7 M,-3.6%
2017,$90.98 M,40.01%
2016,$64.98 M,1112.76%
2015,$5.35 M,-92.94%
2014,$75.85 M,-39.37%
2013,$0.12 B,-28.93%
2012,$0.17 B,16.58%
2011,$0.15 B,-27.31%
2010,$0.20 B,1.38%
2009,$0.20 B,-2.1%
2008,$0.20 B,-46.12%
2007,$0.38 B,25.79%
2006,$0.30 B,34.4%
2005,$0.22 B,
