Year,Marketcap,Change
2025,$7.92 B,-3.43%
2024,$8.20 B,21.08%
2023,$6.77 B,15.83%
2022,$5.85 B,-25.05%
2021,$7.80 B,45.73%
2020,$5.35 B,
