Year,Marketcap,Change
2025,$0.87 B,0.8%
2024,$0.86 B,10.89%
2023,$0.78 B,-18.9%
2022,$0.96 B,-38.04%
2021,$1.55 B,40.23%
2020,$1.11 B,23.93%
2019,$0.89 B,19.03%
2018,$0.75 B,-34.06%
2017,$1.14 B,58.74%
2016,$0.71 B,59.85%
2015,$0.45 B,0.4%
2014,$0.44 B,-28.75%
2013,$0.62 B,36.45%
2012,$0.46 B,39.28%
2011,$0.33 B,-41.44%
2010,$0.56 B,30.47%
2009,$0.43 B,396.34%
2008,$87.34 M,-64.44%
2007,$0.24 B,-1.33%
2006,$0.24 B,50.85%
2005,$0.16 B,65.35%
2004,$99.79 M,27.66%
2003,$78.17 M,
