Year,Marketcap,Change
2025,$0.15 B,-19.79%
2024,$0.19 B,39.17%
2023,$0.14 B,-40.68%
2022,$0.23 B,-62.39%
2021,$0.62 B,
2018,$0.41 B,-26.43%
2017,$0.55 B,
