Year,Marketcap,Change
2025,$1.41 B,5.37%
2024,$1.34 B,-12.25%
2023,$1.53 B,1.4%
2022,$1.51 B,-41.42%
2021,$2.58 B,7.24%
2020,$2.40 B,
