Year,Marketcap,Change
2025,$4.39 B,18.17%
2024,$3.72 B,-13.36%
2023,$4.29 B,0.44%
2022,$4.27 B,-15.26%
2021,$5.04 B,7.32%
2020,$4.70 B,
