Year,Marketcap,Change
2025,$0.99 B,5.3%
2024,$0.94 B,-66.32%
2023,$2.80 B,26.77%
2022,$2.21 B,-30.06%
2021,$3.16 B,41.82%
2020,$2.23 B,
