Year,Marketcap,Change
2025,$0.63 B,16.3%
2024,$0.54 B,-23.76%
2023,$0.72 B,3.5%
2022,$0.69 B,-41.18%
2021,$1.18 B,51.71%
2020,$0.77 B,42.48%
2019,$0.54 B,39.49%
2018,$0.39 B,-16.81%
2017,$0.47 B,27.96%
2016,$0.36 B,-18.62%
2015,$0.45 B,-7.09%
2014,$0.48 B,-9.54%
2013,$0.53 B,-4.77%
2012,$0.56 B,5.96%
2011,$0.53 B,-9.86%
2010,$0.59 B,80.73%
2009,$0.32 B,63.18%
2008,$0.20 B,-50.35%
2007,$0.40 B,-7.46%
2006,$0.43 B,52.18%
2005,$0.28 B,-13.32%
2004,$0.33 B,68.06%
2003,$0.19 B,
