Year,Marketcap,Change
2025,$0.64 B,15.79%
2024,$0.56 B,-1.35%
2023,$0.56 B,10.34%
2022,$0.51 B,10.52%
2021,$0.46 B,-1.67%
2020,$0.47 B,5.34%
2019,$0.45 B,9.59%
2018,$0.41 B,-1.68%
2017,$0.41 B,20.22%
2016,$0.34 B,7.63%
2015,$0.32 B,
