Year,Marketcap,Change
2025,$40.83 B,0.27%
2024,$40.72 B,6.6%
2023,$38.20 B,35.15%
2022,$28.26 B,-41.56%
2021,$48.36 B,23.99%
2020,$39.00 B,35.26%
2019,$28.83 B,35.19%
2018,$21.33 B,0.59%
2017,$21.20 B,25.63%
2016,$16.87 B,-0.5%
2015,$16.96 B,1.82%
2014,$16.66 B,26.27%
2013,$13.19 B,37.36%
2012,$9.60 B,9.28%
2011,$8.78 B,-10.45%
2010,$9.81 B,47.34%
2009,$6.66 B,17.62%
2008,$5.66 B,-17.22%
2007,$6.84 B,2.28%
2006,$6.68 B,33.57%
2005,$5.00 B,3.04%
2004,$4.85 B,17.01%
2003,$4.15 B,
