Year,Marketcap,Change
2025,$61.92 B,16.3%
2024,$53.24 B,18.81%
2023,$44.81 B,42.35%
2022,$31.47 B,1.09%
2021,$31.13 B,-7.7%
2020,$33.73 B,-0.84%
2019,$34.02 B,38.6%
2018,$24.54 B,-27.82%
2017,$34.01 B,6.47%
2016,$31.94 B,3.61%
2015,$30.83 B,31.08%
2014,$23.52 B,-3.98%
2013,$24.49 B,2.7%
2012,$23.85 B,39.53%
2011,$17.09 B,-29.34%
2010,$24.18 B,-5.93%
2009,$25.71 B,72.07%
2008,$14.94 B,-46.96%
2007,$28.17 B,20.79%
2006,$23.32 B,49.69%
2005,$15.58 B,16.26%
2004,$13.40 B,72.19%
2003,$7.78 B,
