Year,Marketcap,Change
2025,$2.06 B,-4.9%
2024,$2.16 B,-11.62%
2023,$2.45 B,48.82%
2022,$1.64 B,-42.42%
2021,$2.86 B,63.84%
2020,$1.74 B,77.71%
2019,$0.98 B,56.19%
2018,$0.62 B,-48.44%
2017,$1.22 B,59.84%
2016,$0.76 B,33.98%
2015,$0.56 B,12.93%
2014,$0.50 B,23.81%
2013,$0.40 B,132.4%
2012,$0.17 B,44.79%
2011,$0.12 B,-23.69%
2010,$0.15 B,43.5%
2009,$0.11 B,55.17%
2008,$71.27 M,-56.74%
2007,$0.16 B,53.25%
2006,$0.10 B,24.75%
2005,$86.18 M,-0.23%
2004,$86.38 M,49.41%
2003,$57.81 M,
