Year,Marketcap,Change
2025,$2.04 B,-4.65%
2024,$2.14 B,-23%
2023,$2.78 B,-15.12%
2022,$3.28 B,-29.83%
2021,$4.67 B,0.39%
2020,$4.65 B,22.98%
2019,$3.78 B,15.2%
2018,$3.28 B,-9.98%
2017,$3.65 B,22.37%
2016,$2.98 B,-9.38%
2015,$3.29 B,22.22%
2014,$2.69 B,43.35%
2013,$1.88 B,753.65%
2012,$0.22 B,-74.63%
2011,$0.86 B,-13.86%
2010,$1.00 B,-17.15%
2009,$1.21 B,-8.87%
2008,$1.33 B,-11.11%
2007,$1.50 B,-10.17%
2006,$1.67 B,8.23%
2005,$1.54 B,0.42%
2004,$1.53 B,
