Year,Marketcap,Change
2025,$1.45 B,2.13%
2024,$1.42 B,-4.88%
2023,$1.50 B,10.22%
2022,$1.36 B,8.51%
2021,$1.25 B,-0.58%
2020,$1.26 B,10.82%
2019,$1.13 B,13.41%
2018,$1.00 B,-6.07%
2017,$1.06 B,1.1%
2016,$1.05 B,-20.66%
2015,$1.33 B,26.05%
2014,$1.05 B,1.98%
2013,$1.03 B,9.84%
2012,$0.94 B,0.9%
2011,$0.93 B,-4.15%
2010,$0.97 B,12.61%
2009,$0.86 B,95.43%
2008,$0.44 B,2.16%
2007,$0.43 B,
