Year,Marketcap,Change
2025,$3.05 B,-9.21%
2024,$3.36 B,-11.64%
2023,$3.81 B,0.25%
2022,$3.80 B,
2019,$0.62 B,6.26%
2018,$0.58 B,-44.38%
2017,$1.05 B,100.66%
2016,$0.52 B,99.25%
2015,$0.26 B,5.05%
2014,$0.25 B,-20.22%
2013,$0.31 B,19.58%
2012,$0.26 B,-0.37%
2011,$0.26 B,-16.27%
2010,$0.31 B,7.97%
2009,$0.29 B,24.69%
2008,$0.23 B,-20.18%
2007,$0.29 B,6.99%
2006,$0.27 B,
