Year,Marketcap,Change
2025,$2.18 B,18.95%
2024,$1.83 B,-29.52%
2023,$2.60 B,25.14%
2022,$2.08 B,-43.44%
2021,$3.68 B,45.87%
2020,$2.52 B,
