Year,Marketcap,Change
2025,$0.76 B,7.38%
2024,$0.71 B,-38.93%
2023,$1.17 B,-18.31%
2022,$1.43 B,-50.6%
2021,$2.90 B,13.69%
2020,$2.55 B,3.52%
2019,$2.46 B,52.67%
2018,$1.61 B,-24.8%
2017,$2.14 B,46.67%
2016,$1.46 B,9.45%
2015,$1.33 B,-24.52%
2014,$1.77 B,
